well_id,well_type,completion_date,porosity,permeability,net_pay,initial_pressure,reservoir_temperature,measured_depth,true_vertical_depth,wellbore_radius,skin_factor,tubing_diameter,choke_size,oil_api,gas_gravity,water_salinity,field_zone,initial_oil_rate,initial_gas_rate,initial_water_rate,decline_rate,b_factor,eur,x_coordinate,y_coordinate
WELL_001,Producer,2020-12-14,0.24718715802406493,5.821071064321734,15.417548587568355,4142.497529664984,178.58068497153042,7385.40627995928,6914.769654308406,0.328,0.7634345585835488,4.5,48,35.39915906107853,0.637238679867434,35111.109133059916,East,17377.57489945894,173740.559413685,138.57083992018946,0.2599085529881075,0.7928909794821467,98363.00346161614,5142.344384136116,5924.145688620425
WELL_002,Producer,2020-11-02,0.24988602334563043,6.487339956335117,40.30217017087365,2891.9841152809727,196.79135417342755,9435.031161418006,6698.902243650166,0.328,5.390684581691111,4.5,48,36.865594573647094,0.5545473416408726,32954.74049138034,West,28919.201406025466,51022.356575494414,103.38832746793892,0.4408753883293676,1.207672670369449,190515.52926831704,9394.98941564189,8948.273504276489
WELL_003,Producer,2020-10-30,0.2572929770912716,1.3446047622671824,29.515713908441086,3507.6502004244044,187.09789874190034,9291.028718114781,10140.746334103047,0.328,5.212955561052107,2.875,32,27.450213588916956,0.7077201969886917,30782.900383203574,North,16228.266747411073,389825.12291164004,313.0801796622891,0.3687021504122962,1.2026514506917294,137897.68662761367,1158.690595251297,8631.034258755935
WELL_004,Producer,2020-02-02,0.188826130250752,9.842615262643767,21.716933530509596,3853.91490341021,166.52688090816483,9501.754503076514,8096.561384328971,0.328,-1.1134896295464463,3.5,24,34.620981274859076,0.6789116484406731,42690.18283232985,East,14962.009665782682,319358.3901959001,100.70813498870605,0.41872907870205583,0.8179812901367453,130008.48113095427,5632.755719763837,6955.160864261275
WELL_005,Producer,2020-08-18,0.2938947022370758,6.540906327615091,18.532051176854498,3349.472886924639,193.7310317655311,8894.501331591622,7270.239796232961,0.328,3.539802299340068,3.5,48,41.85931066774888,0.6640442635163867,33453.55726777711,North,41926.383611383004,482961.5110691188,104.26367009776443,0.15015611309859475,0.6583395132344197,81125.77737144232,5340.89419375442,4848.299713589832
WELL_006,Producer,2020-08-21,0.1946678390184238,20.979034708743068,23.671512733191477,3564.4816490284265,149.66527600206396,7368.331829839285,9203.958738659294,0.328,1.9443475864650794,2.875,40,26.632476890048885,0.6548184167952822,47316.21056242643,South,22950.62200431835,201723.08583048268,411.308210206844,0.30928037499514094,0.7821181139450192,381793.42414939846,5528.930890713279,5926.967238793935
WELL_007,Producer,2020-07-02,0.25955159735215233,4.090777518238277,36.22235448748879,3079.4446811623156,188.80285640700404,11128.546750971975,6809.463674869312,0.328,0.30110681119168425,2.875,24,43.53302476839231,0.7198871532508303,35045.721728700686,East,18264.941721823678,137518.93348680233,175.49634359216384,0.43215697934688124,0.716843627413779,442038.631715573,6756.901170392807,7352.1611924077215
WELL_008,Producer,2020-10-24,0.22328245790556125,32.337277303122775,15.153085468528358,3568.2379803812387,199.60714131423643,6571.020118526527,7984.633858532305,0.328,2.7796483827452705,2.875,16,38.90911435888655,0.753951745141159,30664.269219752234,East,19472.894368948324,573773.0730754491,307.84117557060193,0.26168482996852294,1.422173475195112,680698.7246582342,9736.638367553172,2839.209747374657
WELL_009,Producer,2020-07-12,0.2724673696160433,59.74746683327362,30.876008519040365,3213.650821411574,168.73230863004108,7143.486336255364,8569.977359930794,0.328,5.805168567211705,4.5,24,39.11030079997245,0.8017434386123158,33773.05941998565,East,13388.899599006447,376789.7581743828,94.95824553588093,0.44366785748250276,0.8327647988472917,145405.4253161146,3500.784076946757,6451.033620305649
WELL_010,Producer,2020-11-12,0.2636080929676727,344.0288966681759,24.750505614665247,3496.525004065402,182.85898057671784,9228.37085148235,7451.098817227248,0.328,3.8183880892972546,4.5,24,25.278852031252,0.5740384763856914,32015.513342186237,North,11664.821598760036,162329.42301020044,286.4716886155126,0.35880893900249194,0.9410795211161745,175252.5047511924,971.7649377076854,6150.072266991698
